,N of colex,Recall,Model
652,100,0.20319303338171263,Family+Subfamily+Prob
653,100,0.1971631205673759,Family+Subfamily+Prob
654,100,0.17614424410540916,Family+Subfamily+Prob
655,100,0.19912790697674418,Family+Subfamily+Prob
656,100,0.2019914651493599,Family+Subfamily+Prob
657,100,0.2158273381294964,Family+Subfamily+Prob
658,100,0.1891891891891892,Family+Subfamily+Prob
659,100,0.18492176386913228,Family+Subfamily+Prob
660,100,0.2,Family+Subfamily+Prob
661,100,0.19444444444444445,Family+Subfamily+Prob
662,100,0.2087745839636914,Family+Subfamily+Prob
663,100,0.20885200553250347,Family+Subfamily+Prob
664,100,0.18478260869565216,Family+Subfamily+Prob
665,100,0.17622377622377622,Family+Subfamily+Prob
666,100,0.21605839416058395,Family+Subfamily+Prob
667,100,0.2040520984081042,Family+Subfamily+Prob
668,100,0.18792866941015088,Family+Subfamily+Prob
